Year,Month,Day,Temperature,Humidity,Wind_Speed,Precipitation,Daylight,Air_Quality_Index_NOx,Cloud_Cover,Solar_radiation
2014,12,24,0.512367,-0.582417,0.070529,0,-0.999723,0.273133,0.814222,9.18
2014,12,25,0.416961,0.176763,0.256927,0.018059,-1.308713,0.209588,1.061287,4.13
2014,12,26,0.39576,1.020295,0.211587,0.004575,-1.308713,0.206243,1.308352,3.15
2014,12,27,0.409894,0.429822,0.166247,0.001926,-1.308713,0.222965,1.102465,2.99
2014,12,28,0.335689,0.261116,0.156171,0.007946,-0.716482,0.167224,0.15538,8.17
2014,12,29,0.328622,-1.679009,0.108312,0,1.111707,0.265329,-2.397629,17.51
2014,12,30,0.363958,-1.341596,0.070529,0,1.137456,0.319955,-2.438807,17.6
2014,12,31,0.402827,-0.835477,0.032746,0,1.137456,0.42252,-2.027031,16.11
2015,1,1,0.409894,-1.763362,0.151134,0,1.137456,0.210702,-2.150564,16.59
2015,1,2,0.363958,-0.66677,0.188917,0,1.137456,0.236343,-1.944676,15.53
2015,1,3,0.381625,-1.17289,0.196474,0,1.163205,0.276477,-2.72705,16.42
2015,1,4,0.452297,0.092409,0.198992,0,0.699721,0.232999,-0.503461,15.4
2015,1,5,0.512367,0.345469,0.236776,0,-1.154218,0.249721,0.814222,8.15
2015,1,6,0.547703,0.682882,0.027708,0,0.699721,0.346711,-0.791704,14.96
2015,1,7,0.466431,0.008056,0.108312,0.000482,-1.308713,0.248606,0.073025,3.55
2015,1,8,0.381625,-1.004183,0.148615,0,0.982961,0.214047,-1.491723,16.34
2015,1,9,0.374558,-0.66677,0.133501,0,0.854216,0.236343,-1.409367,15.22
2015,1,10,0.40636,-1.004183,0.178841,0,1.137456,0.282051,-1.862321,15.83
2015,1,11,0.424028,-1.088536,0.115869,0,-0.510489,0.208473,0.443623,9.86
2015,1,12,0.325088,0.345469,0.244332,0.038526,-1.308713,0.15942,0.855399,1.63
2015,1,13,0.275618,1.104648,0.11335,0.065013,-1.282964,0.268673,0.567156,3.16
2015,1,14,0.332155,-1.510303,0.219144,0,1.214704,0.198439,-2.274096,18.49
2015,1,15,0.349823,-1.088536,0.09068,0,1.214704,0.277592,-1.985853,18.06
2015,1,16,0.434629,-0.91983,0.06801,0,1.111707,0.276477,-1.615255,17
2015,1,17,0.39576,-1.341596,0.236776,0,1.163205,0.219621,-2.232919,17
2015,1,18,0.40636,-1.425949,0.186398,0,1.00871,0.19175,-1.656433,16.09
2015,1,19,0.399293,-2.438188,0.168766,0,0.957212,0.234114,-2.191741,17.07
2015,1,20,0.385159,-0.91983,0.163728,0,0.442229,0.254181,-0.956414,14.69
2015,1,21,0.427562,-0.582417,0.010076,0,0.133239,0.682274,-1.285835,10.9
2015,1,22,0.45583,-2.944308,0.193955,0,1.240453,0.307692,-2.232919,18.14
2015,1,23,0.399293,-0.835477,0.178841,0,1.240453,0.302118,-1.5329,17.7
2015,1,24,0.431095,0.008056,0.274559,0.000722,-0.922476,0.253066,0.690689,9.05
2015,1,25,0.480565,0.176763,0.251889,0.000241,-0.922476,0.237458,0.525979,9.9
2015,1,26,0.491166,0.514176,0.209068,0,0.957212,0.275362,-0.709349,16.76
2015,1,27,0.477032,0.598529,0.2267,0,-0.17575,0.234114,0.114203,10.88
2015,1,28,0.424028,0.092409,0.279597,0,0.030243,0.215162,0.278913,14.49
2015,1,29,0.420495,0.176763,0.229219,0,1.266202,0.255295,-1.862321,18.09
2015,1,30,0.409894,0.261116,0.09068,0,-0.330245,0.342252,-0.791704,9.71
2015,1,31,0.360424,0.514176,0.141058,0,-1.257215,0.192865,0.608334,4.81
2015,2,1,0.35689,0.092409,0.156171,0,-1.128469,0.192865,0.608334,6.85
2015,2,2,0.40636,-0.076297,0.163728,0,0.905714,0.225195,-0.626994,17.33
2015,2,3,0.438163,0.261116,0.176322,0,0.957212,0.269788,-0.421106,17.52
2015,2,4,0.399293,0.261116,0.093199,0,-1.231465,0.261984,0.484801,3.84
2015,2,5,0.314488,-1.594656,0.153652,0.000482,-0.536238,0.186176,0.649511,10.16
2015,2,6,0.293286,-0.751123,0.125945,0.000722,-0.948225,0.251951,0.814222,7.63
2015,2,7,0.402827,-0.582417,0.173804,0,-0.407493,0.297659,0.525979,12.82
2015,2,8,0.402827,-2.606895,0.214106,0,0.982961,0.178372,-0.050507,17.34
2015,2,9,0.342756,-0.751123,0.246851,0,1.060209,0.251951,-1.409367,16.96
2015,2,10,0.328622,-0.582417,0.196474,0,1.03446,0.251951,-1.738788,16.55
2015,2,11,0.399293,-0.751123,0.105793,0,-0.150001,0.411371,-0.050507,12.51
2015,2,12,0.44523,-1.847716,0.09068,0,1.188954,0.39019,-0.791704,18.13
2015,2,13,0.452297,-2.438188,0.178841,0,1.343449,0.345596,-0.791704,19.49
2015,2,14,0.487633,-2.269482,0.289673,0,-0.047005,0.292085,-0.256395,13.69
2015,2,15,0.508834,0.682882,0.130982,0.008909,-1.308713,0.483835,0.814222,3.48
2015,2,16,0.526502,1.189002,0.020151,0,-0.896727,0.829431,-0.00933,8.24
2015,2,17,0.508834,0.851589,0.141058,0,-0.227249,0.397993,0.443623,11.57
2015,2,18,0.469965,0.092409,0.297229,0,-0.948225,0.195095,0.731866,8.18
2015,2,19,0.434629,0.092409,0.445844,0,-1.231465,0.156076,0.814222,7.76
2015,2,20,0.45583,0.682882,0.287154,0,-1.231465,0.186176,0.814222,9.65
2015,2,21,0.522968,1.189002,0.115869,0.000722,-1.308713,0.245262,0.731866,6.58
2015,2,22,0.551237,1.526415,0.105793,0.03949,-1.257215,0.261984,0.896577,5.71
2015,2,23,0.491166,1.610768,0.284635,0.021912,-1.205716,0.249721,1.020109,8.05
2015,2,24,0.4947,1.610768,0.259446,0.000241,-1.257215,0.232999,0.814222,8.1
2015,2,25,0.530035,1.695121,0.209068,0.003612,-1.205716,0.239688,0.814222,7.45
2015,2,26,0.600707,1.189002,0.133501,0,0.081741,0.236343,0.114203,13.13
2015,2,27,0.501767,1.695121,0.29471,0.002408,-1.308713,0.206243,0.773044,3.13
2015,2,28,0.477032,1.357708,0.277078,0.000482,-1.257215,0.22408,0.855399,8.3
2015,3,1,0.5053,-0.41371,0.095718,0,-0.999723,0.244147,0.649511,8.02
2015,3,2,0.438163,0.851589,0.2267,0.000482,-1.308713,0.227425,0.978932,4.88
2015,3,3,0.515901,1.020295,0.193955,0.000963,-0.948225,0.241918,0.855399,9.1
2015,3,4,0.431095,1.526415,0.279597,0.001204,-1.308713,0.234114,0.978932,2.97
2015,3,5,0.388693,1.863828,0.43073,0.008187,-1.308713,0.215162,1.225997,4.24
2015,3,6,0.413428,1.779474,0.287154,0.000241,-1.308713,0.22631,1.143642,4.16
2015,3,7,0.441696,1.442061,0.219144,0.000482,-1.308713,0.249721,1.308352,6.88
2015,3,8,0.4947,0.851589,0.27204,0,-0.690733,0.201784,0.937754,13.59
2015,3,9,0.575972,0.598529,0.065491,0,0.673972,0.341137,-0.132863,17.33
2015,3,10,0.448763,-0.41371,0.31738,0,-0.252998,0.192865,0.278913,13.38
2015,3,11,0.392226,0.514176,0.201511,0.001204,-1.282964,0.214047,0.978932,5.97
2015,3,12,0.374558,1.273355,0.115869,0.013484,-1.308713,0.243032,0.978932,3.39
2015,3,13,0.434629,-0.076297,0.342569,0,-1.308713,0.235229,0.978932,7.36
2015,3,14,0.522968,0.598529,0.264484,0,-1.308713,0.269788,0.937754,5.44
2015,3,15,0.575972,1.526415,0.148615,0,-1.257215,0.207358,0.978932,7.03
2015,3,16,0.607774,1.526415,0.178841,0,-1.10272,0.264214,0.937754,11.38
2015,3,17,0.607774,1.526415,0.256927,0,-0.922476,0.244147,0.731866,10.92
2015,3,18,0.639576,1.442061,0.176322,0,-1.10272,0.283166,0.731866,7.8
2015,3,19,0.685512,1.104648,0.073048,0,0.004494,0.268673,-0.00933,14.72
2015,3,20,0.667845,0.851589,0.080605,0,0.776968,0.272018,-1.20348,17.48
2015,3,21,0.632509,0.935942,0.065491,0,0.622473,0.350056,-0.132863,16.51
2015,3,22,0.558304,0.429822,0.241814,0.000482,-1.308713,0.179487,0.690689,7.18
2015,3,23,0.561837,-1.17289,0.309824,0,-0.639235,0.245262,0.484801,13.86
2015,3,24,0.515901,-0.076297,0.29471,0,0.081741,0.209588,0.731866,16.15
2015,3,25,0.459364,0.008056,0.231738,0.000241,-1.308713,0.232999,0.608334,3.88
2015,3,26,0.491166,0.345469,0.103275,0.008909,-1.308713,0.246377,0.814222,6.95
2015,3,27,0.55477,0.935942,0,0.040934,-0.690733,0.400223,0.731866,8.22
2015,3,28,0.575972,0.429822,0.178841,0,0.364982,0.352285,-0.915237,19.55
2015,3,29,0.618375,0.429822,0.130982,0,0.41648,0.210702,-0.00933,19.22
2015,3,30,0.636042,1.020295,0.209068,0,-0.330245,0.236343,0.649511,14.51
2015,3,31,0.65371,1.189002,0.115869,0,-0.896727,0.231884,0.608334,11.69
2015,4,1,0.69258,1.020295,0.128463,0,-0.922476,0.294314,0.484801,12.16
2015,4,2,0.734982,0.682882,0.130982,0,-0.767981,0.292085,0.484801,13.67
2015,4,3,0.749117,0.682882,0.108312,0,-1.179967,0.289855,0.567156,6.1
2015,4,4,0.766784,0.598529,0.095718,0,-0.767981,0.26087,0.237736,12.74
2015,4,5,0.749117,0.345469,0.15869,0,1.369199,0.201784,-1.244657,25.32
2015,4,6,0.766784,0.261116,0.073048,0,1.549443,0.278707,-1.491723,23.17
2015,4,7,0.70318,0.598529,0.244332,0.000241,-0.124252,0.188406,0.525979,13.31
2015,4,8,0.480565,-0.160651,0.196474,0.02119,-1.308713,0.216276,0.978932,4.97
2015,4,9,0.45583,0.935942,0.13602,0.000963,-1.308713,0.230769,1.061287,3.66
2015,4,10,0.466431,0.767235,0.078086,0.001445,-1.308713,0.217391,0.896577,3.39
2015,4,11,0.427562,1.610768,0.078086,0.12184,-1.308713,0.267559,1.308352,3.06
2015,4,12,0.526502,0.176763,0.047859,0.002167,-0.510489,0.332219,0.114203,14.26
2015,4,13,0.636042,-2.100775,0.095718,0,1.549443,0.38573,-2.438807,25.44
2015,4,14,0.59364,-3.366074,0.168766,0,1.600941,0.261984,-2.438807,27.49
2015,4,15,0.597173,-1.847716,0.098237,0,1.652439,0.372352,-2.191741,26.91
2015,4,16,0.625442,-0.582417,0.088161,0,1.549443,0.337793,-1.779966,25.03
2015,4,17,0.667845,-0.245004,0.11335,0,1.575192,0.275362,-0.668171,25.85
2015,4,18,0.731449,0.767235,0.216625,0,-0.870977,0.298774,0.814222,9.55
2015,4,19,0.777385,0.514176,0.15869,0,-1.257215,0.247492,0.814222,4.7
2015,4,20,0.763251,0.767235,0.143577,0.000241,-1.025472,0.314381,0.814222,7.21
2015,4,21,0.671378,-0.329357,0.115869,0.000241,-1.205716,0.227425,0.525979,10.76
2015,4,22,0.64311,-0.160651,0.216625,0,-0.124252,0.209588,0.525979,16.8
2015,4,23,0.628975,-1.17289,0.198992,0,-1.308713,0.234114,0.814222,5.57
2015,4,24,0.689046,-0.582417,0.098237,0,0.931463,0.285396,-0.832881,22.08
2015,4,25,0.660777,0.092409,0.209068,0,-0.124252,0.264214,-0.668171,16.97
2015,4,26,0.667845,-0.076297,0.201511,0,1.03446,0.215162,-0.379928,22.42
2015,4,27,0.696113,0.176763,0.095718,0,1.420697,0.263099,-1.69761,23.35
2015,4,28,0.731449,0.261116,0.115869,0,0.41648,0.302118,-0.421106,19.19
2015,4,29,0.766784,0.429822,0.128463,0,1.214704,0.28874,-0.091685,23.23
2015,4,30,0.798587,0.176763,0.108312,0,1.291951,0.296544,-1.121124,23.96
2015,5,1,0.791519,0.429822,0.153652,0.001926,-0.021255,0.268673,0.320091,14.74
2015,5,2,0.809187,0.176763,0.183879,0,-0.664984,0.270903,0.443623,12.05
2015,5,3,0.837456,0.176763,0.138539,0,0.030243,0.214047,0.525979,17.54
2015,5,4,0.830389,0.261116,0.153652,0,0.10749,0.270903,0.608334,16.74
2015,5,5,0.791519,0.598529,0.166247,0.007946,-0.896727,0.257525,0.731866,10.11
2015,5,6,0.777385,0.851589,0.161209,0.002408,-0.973974,0.247492,0.690689,9.36
2015,5,7,0.823322,0.598529,0.138539,0.001204,-0.536238,0.278707,0.525979,11.62
